"field","original","canonical","count"
"city","10th of ramadan","10th of Ramadan","3"
"city","العاشر من رمضان","10th of Ramadan","13"
"city","٦ اكتوبر","6th of October","2"
"city","6th october","6th of October","2"
"city","Alexanderia","Alexandria","1"
"city","الاسكندرية","Alexandria","24"
"city","الإسكندرية","Alexandria","16"
"city","القاهرة","Cairo","1120"
"city","الجيزة","Giza","4"
"companyType","Construction","Contractor","1"
"companyType","Main Contractor","Contractor","629"
"country","مصر","Egypt","1495"
"country","OMAN","Oman","1"
"country","السعودية","Saudi Arabia","326"
"currency","DRHM","AED","1"
"currency","DURHAM","AED","1"
"currency","EURO","EUR","1"
"currency","DINAR","KWD","1"
