"Group","Value","Kind","Present"
"currencies","DURHAM","bad","False"
"currencies","DRHM","bad","False"
"currencies","DINAR","bad","False"
"currencies","EURO","bad","False"
"currencies","AED","good","True"
"currencies","KWD","good","True"
"currencies","EUR","good","True"
"countries","مصر","bad","False"
"countries","السعودية","bad","False"
"countries","OMAN","bad","False"
"countries","Egypt","good","True"
"countries","Saudi Arabia","good","True"
"countries","Oman","good","True"
"cities","القاهرة","bad","False"
"cities","الاسكندرية","bad","False"
"cities","الإسكندرية","bad","False"
"cities","Alexanderia","bad","False"
"cities","٦ اكتوبر","bad","False"
"cities","6th october","bad","False"
"cities","10th of ramadan","bad","False"
"cities","العاشر من رمضان","bad","False"
"cities","الجيزة","bad","False"
"cities","Cairo","good","True"
"cities","Alexandria","good","True"
"cities","6th of October","good","True"
"cities","10th of Ramadan","good","True"
"cities","Giza","good","True"
"companyTypes","Main Contractor","bad","False"
"companyTypes","Construction","bad","False"
"companyTypes","Contractor","good","True"
