"Field","Value","Kind","Present"
"companyType","Main Contractor","bad","False"
"companyType","Construction","bad","False"
"companyType","Contractor","good","False"
"currency","DURHAM","bad","False"
"currency","DRHM","bad","False"
"currency","DINAR","bad","False"
"currency","EURO","bad","False"
"currency","AED","good","False"
"currency","KWD","good","False"
"currency","EUR","good","False"
"city","القاهرة","bad","False"
"city","الاسكندرية","bad","False"
"city","الإسكندرية","bad","False"
"city","Alexanderia","bad","False"
"city","٦ اكتوبر","bad","False"
"city","6th october","bad","False"
"city","10th of ramadan","bad","False"
"city","العاشر من رمضان","bad","False"
"city","الجيزة","bad","False"
"city","Cairo","good","False"
"city","Alexandria","good","False"
"city","6th of October","good","False"
"city","10th of Ramadan","good","False"
"city","Giza","good","False"
"country","مصر","bad","False"
"country","السعودية","bad","False"
"country","OMAN","bad","False"
"country","Egypt","good","False"
"country","Saudi Arabia","good","False"
"country","Oman","good","False"
