"Field","Value","Kind","Present"
"currency","DURHAM","bad","False"
"currency","DRHM","bad","False"
"currency","DINAR","bad","False"
"currency","EURO","bad","False"
"currency","AED","good","True"
"currency","KWD","good","True"
"currency","EUR","good","True"
"country","مصر","bad","False"
"country","السعودية","bad","False"
"country","OMAN","bad","False"
"country","Egypt","good","True"
"country","Saudi Arabia","good","True"
"country","Oman","good","True"
"city","القاهرة","bad","False"
"city","الاسكندرية","bad","False"
"city","الإسكندرية","bad","False"
"city","Alexanderia","bad","False"
"city","٦ اكتوبر","bad","False"
"city","6th october","bad","False"
"city","10th of ramadan","bad","False"
"city","العاشر من رمضان","bad","False"
"city","الجيزة","bad","False"
"city","Cairo","good","True"
"city","Alexandria","good","True"
"city","6th of October","good","True"
"city","10th of Ramadan","good","True"
"city","Giza","good","True"
"companyType","Main Contractor","bad","False"
"companyType","Construction","bad","False"
"companyType","Contractor","good","True"
