"Value","Count"
"القاهرة","1120"
"الرياض","173"
"جدة","41"
"الاسكندرية","24"
"ابو ظبي","19"
"الدمام","18"
"الإسكندرية","16"
"جده","14"
"العلمين","13"
"العاشر من رمضان","13"
"الاسكندريه","12"
"الساحل الشمالي","12"
"دبي","12"
"اسكندرية","11"
"بورسعيد","11"
"مكة","10"
"دمشق","10"
"دمياط","10"
"السويس","9"
"شرم الشيخ","8"
"السادات","8"
"جازان","7"
"المنصورة","7"
"اسيوط","7"
"الساحل","7"
"المنيا","6"
"القصيم","6"
"المنصوره","6"
"Alexandria","6"
"سوهاج","6"
"المدينة المنورة","6"
"الفيوم","5"
"الغردقة","5"
"اسكندريه","5"
"الجيزة","4"
"الخبر","4"
"المنوفية","4"
"الجيزه","4"
"قنا","4"
"بني سويف","4"
