"Value","Count"
"Main Contractor","629"
"Consultant","389"
"Sub-Contractor","351"
"Industrial","96"
"Manufacturer","78"
"Facility Management","66"
"Supervision Consultant","66"
"Developer","60"
"Government","37"
"Oil & Gas","35"
"Supplier","8"
"PMC","5"
"مقاولات","3"
"System integrator","3"
"3rd party","3"
"Contracting","2"
"Sales","2"
"BIM service","2"
"Owner","2"
"Cxa","2"
"HVAC","2"
"Back Office","2"
"VDC and BIM services","2"
"enegy and oil and gas","1"
"Technology","1"
"وكيل براند تكييف","1"
"Cement industry","1"
"مقاولات عامه","1"
"owner’s engineer","1"
"constructure and design","1"
"Raya holding","1"
"Heavy equipments","1"
"شركه طباعة","1"
"MEP Engineering Services","1"
"ففف","1"
"Diesel engine and automatic transmission service","1"
"لا اعمل حاليا","1"
"اتشاءات","1"
"مكتب مقاولات بسوهاج","1"
"Vet","1"
