"Canonical","OriginalNames","Rows"
"Civil","15","27"
"Mechanical","14","1253"
"Electrical","10","229"
"Agricultural Engineering","10","14"
"Chemical","9","13"
"Information Technology","6","7"
"Surveying","5","10"
"Architecture","4","40"
"Metallurgy","3","3"
"HSE","3","6"
"Structural","2","213"
"Biomedical Engineering","2","2"
"Petroleum","2","5"
"Operation and maintenance","1","1"
"Q. C","1","1"
"Automation","1","1"
"Solar energy","1","1"
"Production operator Production operator","1","1"
"Project management","1","1"
"Procurement","1","1"
"Technical office","1","1"
"Facility","1","1"
"Facilities","1","1"
"Production planning","1","1"
"Sr.Dc","1","1"
"Cost control engineer","1","1"
"Kitchen and laundry installation Eng","1","1"
"Maintenance","1","2"
"Operation","1","1"
"Unit head","1","1"
"Production","1","2"
"BIM","1","57"
"Mechatronics","1","5"
"Cost control","1","3"
"management","1","1"
"Drafting / CAD","1","1"
"Tender","1","1"
"QS","1","1"
"Handover","1","1"
"Thecnical","1","1"
"مهندس جوده طباعه","1","1"
"Maintenance planner","1","1"
