"Value","Count"
"agricultural","1"
"Agricultural engineering","2"
"Agriculture","4"
"Agriculture Engineer","1"
"Alexandria","1"
"Architecture","37"
"Autocad Drawer","1"
"Automation","1"
"BIM","57"
"Biomedical","1"
"Biomedical Engineering","1"
"bms","2"
"Business Development","1"
"Chemical","4"
"Chemical engineer","2"
"Chemical engineer (Operation)","1"
"Chemist","1"
"Chemistry","1"
"Civil","13"
"Civil Defense Consultant","1"
"Civil Execution Engineer","1"
"Communication","2"
"Computer science","1"
"Cost control","3"
"Cost control engineer","1"
"Dev","1"
"Draftsman mep & arch","1"
"Electrical","218"
"Facilities","1"
"Facility","1"
"FLS","1"
"FLS Engineer","1"
"Frontend web development","1"
"Furniture production","1"
"Handover","1"
"Health and safety","1"
"Highway technical office engineer","1"
"HSE","4"
"Hvac bim","1"
"HVAC ENGINEER","1"
"information technology","1"
"Infra structure","1"
"Infrastructural engineering","1"
"Infrastructure","1"
"Infrastructure and roads","1"
"Infrastructure BIM","1"
"Infrastructure civil engineer","1"
"Interior and furniture design","1"
"Irrigation","1"
"It","2"
"Kitchen and laundry installation Eng","1"
"Land Scap","1"
"Light current","1"
"Maintenance","2"
"Maintenance planner","1"
"management","1"
"marine construction works","1"
"Mechanical","1240"
"Mechanical and electrical","1"
"Mechanical Infrastructure","1"
"Mechanical, BIM","1"
"Mechatronics","5"
"Metallurgical (quality)","1"
"Metallurgy","1"
"Operation","1"
"Operation and maintenance","1"
"Petrochemical","1"
"Petroleum","4"
"Plumbing and fire protection","1"
"Pluming","1"
"Process engineer","1"
"Procurement","1"
"Production","2"
"Production chemist","1"
"Production operator Production operator","1"
"Production planning","1"
"Project management","1"
"Q. C","1"
"QS","1"
"safety","1"
"Smart home","1"
"Solar energy","1"
"Sr.Dc","1"
"Structural","212"
"Survey","1"
"Surveying","2"
"Technical office","1"
"Tender","1"
"Thecnical","1"
"Traffic engineer","1"
"Unit head","1"
"utilities","1"
"Water treatment","1"
"Wet Utilities Engineer","1"
"اخصائي شؤون الموظفين","1"
"اعمال السلامة الانذار والاطفاء","1"
"الزراعة","1"
"الصيانة الميكانيكية","1"
"المحاسبه","1"
"بترول","1"
"بنية تحتية","1"
"بنيه تحتيه","1"
"تعدين وفلزات","1"
"زراعة","1"
"شبكات","1"
"عماره داخليه وتصميم داخلي واثاث","1"
"كيمياء","1"
"لاندسكيب","1"
"لاندسكيب شبكات ري","1"
"محاسب","1"
"مدنى / سيفتى","1"
"مدني تنفيذي","1"
"مدير مكتب فنى - مهندس مدنى","1"
"مساح","5"
"مساحة","1"
"مساحه","1"
"مهندس جوده طباعه","1"
"هندسة زراعية","1"
