"Value","Count"
"Mechanical","1240"
"Electrical","218"
"Structural","212"
"BIM","57"
"Architecture","37"
"Civil","13"
"مساح","5"
"Mechatronics","5"
"Petroleum","4"
"HSE","4"
"Chemical","4"
"Agriculture","4"
"Cost control","3"
"Production","2"
"bms","2"
"Maintenance","2"
"Chemical engineer","2"
"It","2"
"Surveying","2"
"Agricultural engineering","2"
"Communication","2"
"Operation","1"
"بنيه تحتيه","1"
"Unit head","1"
"Infrastructure civil engineer","1"
"FLS Engineer","1"
"Frontend web development","1"
"Dev","1"
"management","1"
"الصيانة الميكانيكية","1"
"مدير مكتب فنى - مهندس مدنى","1"
"Light current","1"
"عماره داخليه وتصميم داخلي واثاث","1"
"Agriculture Engineer","1"
"Production chemist","1"
"safety","1"
"بترول","1"
"Thecnical","1"
"Highway technical office engineer","1"
"مهندس جوده طباعه","1"
