"Group","Value","Reason"
"companyTypes","David","obviously invalid or placeholder"
"companyTypes","enegy and oil and gas","typo or needs taxonomy decision"
"companyTypes","Maitenance","typo or needs taxonomy decision"
"companyTypes","بتروكمويات","typo or needs taxonomy decision"
"companyTypes","ففف","obviously invalid or placeholder"
"companyTypes","كل","obviously invalid or placeholder"
"companyTypes","لا اعمل حاليا","obviously invalid or placeholder"
"companyTypes","ليرز","typo or needs taxonomy decision"
"disciplines","management","needs taxonomy decision"
"disciplines","Project management","needs taxonomy decision"
"disciplines","Thecnical","needs taxonomy decision"
"disciplines","اخصائي شؤون الموظفين","needs taxonomy decision"
"disciplines","المحاسبه","needs taxonomy decision"
"disciplines","محاسب","needs taxonomy decision"
"disciplines","مهندس جوده طباعه","needs taxonomy decision"
