"Value","Count"
"Cairo","1120"
"الرياض","173"
"Alexandria","47"
"جدة","41"
"ابو ظبي","19"
"الدمام","18"
"10th of Ramadan","16"
"جده","14"
"العلمين","13"
"الساحل الشمالي","12"
"الاسكندريه","12"
"دبي","12"
"اسكندرية","11"
"بورسعيد","11"
"مكة","10"
"دمشق","10"
"دمياط","10"
"السويس","9"
"شرم الشيخ","8"
"السادات","8"
"اسيوط","7"
"جازان","7"
"الساحل","7"
"المنصورة","7"
"المنيا","6"
"المنصوره","6"
"سوهاج","6"
"المدينة المنورة","6"
"القصيم","6"
"الغردقة","5"
"الفيوم","5"
"اسكندريه","5"
"المنوفية","4"
"مطروح","4"
"بني سويف","4"
"البحيرة","4"
"الخبر","4"
"الجيزه","4"
"بنغازي","4"
"Giza","4"
"Jeddah","4"
"الاحساء","4"
"قنا","4"
"6th of October","4"
"أسيوط","3"
"Dubai","3"
"مرسي مطروح","3"
"عمان","3"
"البحيره","3"
"المدينة","3"
"المنوفيه","3"
"العلمين الجديده","3"
"تبوك","3"
"سفاجا","3"
"راس الحكمة","3"
"الكويت","3"
"بنى سويف","3"
"الاسماعيليه","2"
"الزقازيق","2"
"القليوبية","2"
"الشارقة","2"
"حمص","2"
"بيروت","2"
"الجبيل","2"
"العين","2"
"وادي النطرون","2"
"العاشر","2"
"توشكي","2"
"Damascus","2"
"الشارقه","2"
"بغداد","2"
"مرسي علم","2"
"مكه المكرمه","2"
"عدن","2"
"الشرقية","2"
"الاقصر","2"
"اكتوبر","2"
"رام الله","2"
"أسوان","2"
"دمنهور","2"
"الاسماعيلية","2"
"الغردقه","2"
"مدينة السادات","2"
"عسير","2"
"Luxor","2"
"اسماعيليه","1"
"الإسماعيليه","1"
"الدقهلية","1"
"الساحل مشروع سول","1"
"رأس الحكمة","1"
"اسماعيلية","1"
"محور الضبعة","1"
"Addis Ababa","1"
"Sadat city","1"
"البلينا","1"
"Lagos","1"
"Dabaa - Matrouh","1"
"Aswan","1"
"المنوفية شبين الكوم","1"
"المنطقه الشرقيه","1"
"اكتوبر الجيزه","1"
"بين القاهرة والعلمين","1"
"كفر الشيخ","1"
"الجبيل الصناعية","1"
"محافظة قنا","1"
"الشرقية - العاشر من رمضان","1"
"قها، القليوبية","1"
"رأس غارب","1"
"الشرقيه","1"
"عملن","1"
"Suez","1"
"العاصمة الإدارية","1"
"العلا","1"
"سكاكا","1"
"الخفجي","1"
"Tabuk","1"
"سيناء","1"
"فوكا باي الساحل","1"
"خميس مشيط","1"
"أبها","1"
"نجع حمادي","1"
"North coast","1"
"الصحراء الغربيه","1"
"اسوان","1"
"المحلة الكبرى","1"
"اونلاين_المنصورة","1"
"الدقهليه","1"
"الضبعه","1"
"العين السخنه","1"
"ريف دمشق","1"
"البحر الاحمر","1"
"سادات","1"
"الخرطوم","1"
"hail","1"
"العريش","1"
"شبين الكوم","1"
"الدوحه","1"
"خارج القاهره","1"
"القليوبيه","1"
"العاصمه الجديده","1"
"رأس الحكمة محافظة مرسي مطروح","1"
"Gharbia","1"
"مكه","1"
"مطوبس","1"
"new alamen","1"
"دبى","1"
"الدوحة","1"
"دق","1"
"الجوف - سكاكا","1"
"Karnataka","1"
"نجران","1"
"أجا","1"
"المدينه المنوره","1"
"مكه المكرمة","1"
"ميت غمر","1"
"Erbil","1"
"Hurghada","1"
"Makkah","1"
"بريدة - القصيم","1"
"النجف","1"
"الضبعة","1"
"جميع محافظات مصر","1"
"Ras gharib","1"
"Mansoura","1"
"نيوم","1"
"ابها","1"
"باريس","1"
"بنها","1"
"الجوف","1"
"المفرق","1"
"الواحات البحرية","1"
"متنقل حسب المشروع","1"
"الجهراء","1"
"دبي/ رأس الخيمة","1"
"Sant Catherine","1"
"Ain Sokhna","1"
"خميس مشيط واعمل مهندس في الموقع مواقع متعددة","1"
"طنطا","1"
"ينبع","1"
"Muscat","1"
"رأس سدر","1"
"شمال سيناء","1"
"وسط سيناء","1"
"حائل","1"
"دمياط الجديدة","1"
"جيزان","1"
"كاترين","1"
"مشاريع البحر الأحمد","1"
"Menoufia","1"
"Sulaymani","1"
"Seuz","1"
"عرعر","1"
"العاصمة","1"
"قويسنا","1"
"المنصورة - عن بعد لشركة بالقاهرة","1"
"Marsa alam","1"
"درنة","1"
"Medina","1"
"Ramadi","1"
"جنوب سيناء","1"
"راس غارب","1"
"Red sea","1"
"رابغ","1"
"الخرج","1"
"نواكشوط","1"
"الواحات","1"
"العبور","1"
"االدمام","1"
"الافصر","1"
"حضرموت","1"
"مرسى مطروح","1"
"أربيل","1"
"ميناء شرق بورسعيد","1"
"Mogadishu","1"
