"Value","Count"
"Contractor","630"
"Consultant","389"
"Sub-Contractor","351"
"Industrial","96"
"Manufacturer","78"
"Supervision Consultant","66"
"Facility Management","66"
"Developer","60"
"Government","37"
"Oil & Gas","35"
"Supplier","8"
"PMC","5"
"System integrator","3"
"مقاولات","3"
"3rd party","3"
"BIM service","2"
"Sales","2"
"Back Office","2"
"HVAC","2"
"Contracting","2"
"Cxa","2"
"Owner","2"
"VDC and BIM services","2"
"مركز صيانة سيارات","1"
"constructure and design","1"
"owner’s engineer","1"
"Raya holding","1"
"توريدات عامه","1"
"Technology","1"
"شركه طباعة","1"
"Diesel engine and automatic transmission service","1"
"Agency solution","1"
"MEP Engineering Services","1"
"Vet","1"
"Cement industry","1"
"enegy and oil and gas","1"
"لا اعمل حاليا","1"
"وكيل براند تكييف","1"
"Power solution","1"
"BIM Consultant","1"
"Agriculture","1"
"Supplies, Agencies & Contracting","1"
"مكتب مساحه","1"
"مقاولات عامه","1"
"اتشاءات","1"
"Sheet metal","1"
"مالك لمجموعة فنادق","1"
"Medical","1"
"Maitenance","1"
"Infrastructure","1"
"Heavy equipments","1"
"ففف","1"
"University","1"
"بتروكمويات","1"
"Privately owned company","1"
"مكتب مقاولات بسوهاج","1"
"PV","1"
"David","1"
"Elevators","1"
"مكتب هندسي","1"
"زراعية","1"
"Client rep.","1"
"خدمات هندسيه","1"
"دراسات","1"
"مصنع","1"
"خدمات هندسية","1"
"ليرز","1"
"فندق","1"
"Integrated solutions in oil and gas sector","1"
"محطة خرسانه جاهزه","1"
"انشاءات","1"
"Inspection services","1"
"مهندس تنفيذ","1"
"Maintenance","1"
"Education","1"
"Test and Balance, Validation.","1"
"Ministry of Health","1"
"Environmental section","1"
"Back office bim","1"
"Medium voltage distributer","1"
"Equipment maintenance","1"
"كل","1"
"شركه تصميم داخلي وتصميم مطابخ","1"
"الشركه الكنديه العالميه الالمونيوم","1"
"مقاول","1"
"Marine transportation","1"
"food industry","1"
"Training & technical support","1"
"Vending machine","1"
"Petrochemical","1"
"MEP Design - back office","1"
"Medical Supplies","1"
"Shipbuilding and repair","1"
"Pumps Supplier","1"
"Fresh Graduate Engineer","1"
"Cnc","1"
