"Value","Count"
"Mechanical","1253"
"Electrical","229"
"Structural","213"
"BIM","57"
"Architecture","40"
"Civil","27"
"Agricultural Engineering","14"
"Chemical","13"
"Surveying","10"
"Information Technology","7"
"HSE","6"
"Mechatronics","5"
"Petroleum","5"
"Metallurgy","3"
"Cost control","3"
"Production","2"
"Maintenance","2"
"Biomedical Engineering","2"
"Tender","1"
"اخصائي شؤون الموظفين","1"
"Production planning","1"
"Handover","1"
"Solar energy","1"
"Kitchen and laundry installation Eng","1"
"Drafting / CAD","1"
"Operation","1"
"Maintenance planner","1"
"QS","1"
"Thecnical","1"
"مهندس جوده طباعه","1"
"Unit head","1"
"management","1"
"Project management","1"
"محاسب","1"
"Automation","1"
"Q. C","1"
"Operation and maintenance","1"
"المحاسبه","1"
"Procurement","1"
"Other / Needs Review","1"
"Cost control engineer","1"
"Sr.Dc","1"
"Technical office","1"
"Production operator Production operator","1"
"Facility","1"
"Facilities","1"
