"id","discipline","country","city","yearsOfExperience","companyType","workMode","currency","monthlyNetSalary","housingProvided","transportationProvided","annualBonus","salaryFairness","recommendField","negotiationAdvice","professionalCertificate","benefits","highestEducation","dailyWorkHours","extraDayOff","submittedAt"
"e6c86429-baa9-44ba-864c-7aa2d0de2acc","Agricultural engineering","Back Office Saudi","6th october","0","3rd party","From Home","EGP","250",,,,,,,,,,,,"2026-07-25T00:00:00.000Z"
"0578c0e9-c003-4e27-afa4-ede9ceb82432","Agriculture","Ethiopia","10th of ramadan","0","3rd party","Hybrid","EGP","150",,,,,"لا",,,"Social insurance","Master's",,,"2026-07-25T00:00:00.000Z"
"ffe41ce1-f067-4b0f-a74c-49f66753f7af","Mechanical","مصر","المنصوره","1","Consultant","Office","EGP","8000","لا","لا","لا","لا","لا",,"نعم","احازه جمعه وسبت😂","Bachelor's","9","نعم","2026-07-16T00:00:00.000Z"
"ffda8ea8-3b1d-4ea1-85fc-af9148f27c36","Electrical","مصر","القاهرة","1","Sub-Contractor","Hybrid","EGP","12000","نعم","لا","لا","لا","ربما",,"لا",,"Bachelor's","9","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"ffb056b6-6217-4955-990a-7d00414e4667","Mechanical","السعودية","الرياض","6","Consultant","Office","SAR","13000","لا","لا","نعم","نعم","نعم","فاوض بناءً على قيمتك السوقية الموثقة بالأرقام والنتائج، وأظهر مهنيتك بالتركيز على العائد الذي ستضيفه للمشروع، مع الحرص على معرفة مسار تطورك الوظيفي والمالي داخل الشركة مستقبلاً.","نعم",,"Bachelor's","9","نعم","2026-07-16T00:00:00.000Z"
"ffa9216e-96f8-4366-9b16-40cd07c9f57c","Mechanical","مصر","الغردقة","5","Main Contractor","Site","EGP","14000","نعم","نعم","نعم","لا","لا","لا يوجد تفاوض في هيئة البترول","لا","سكن-انتقالات-15 الف ارباح سنوية","Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
"ffa352d4-8daf-4d11-aa2a-a76c7e000d7f","Mechanical","مصر","القاهرة","3","Consultant","Office","EGP","25000","لا","لا","لا","ربما","نعم",,"نعم",,"Bachelor's","9","نعم","2026-07-16T00:00:00.000Z"
"ff8a5ad8-88f9-46c9-8326-6f3480d46797","HVAC ENGINEER","اليمن","حضرموت","18","Main Contractor","Office","SAR","1000","نعم","نعم","نعم","لا","نعم","اهم شي كتابة عقد بينك وبين الشكرة وراتب المهندس لايقل عن 5000 سعودي","نعم",,"Bachelor's","8","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"ff55ec44-8331-4a78-83f9-b7cecad02b33","BIM","السعودية","جده","8","Supervision Consultant","Site","SAR","15000","لا","لا","لا","ربما","نعم",,"نعم",,"Bachelor's","8","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"ff54d904-811a-4d8e-a3fe-e8aae69cd70c","Operation and maintenance","السعودية","االدمام","14","Facility Management","Hybrid","SAR","7000","نعم","نعم","لا","لا","لا","لا تقبل براتب لا يمثل خبرتك ولا تثق فى وعود بعض الشركات بالزيادة السن
السنوية","نعم","Family contract","Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
"ff41fd54-3955-4634-abb0-9c46ba62ed4f","Mechanical","الامارات","ابو ظبي","5","Main Contractor","Site","SAR","8000","لا","لا","لا","نعم","لا",,"لا","تامين صحي وزيادة سنوية 5℅","Bachelor's","9","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"ff293aa0-8687-4316-8267-7adabad9d262","Mechanical","مصر","القاهرة","2","Sub-Contractor","Office","EGP","15000","نعم","نعم","لا","لا","نعم","الفرص كتير اوي اهتم بنفسك واطلب الرقم إللي يرضيك","لا","مفيش امتيازات واو يعني","Bachelor's","9","نعم","2026-07-16T00:00:00.000Z"
"ff25fe84-3a37-4e8c-90fc-3bd0a27143f3","Mechanical","السعودية","الرياض","17","Main Contractor","Office","SAR","16000","لا","نعم","لا","لا","نعم",,"لا",,"Bachelor's","9","نعم","2026-07-16T00:00:00.000Z"
"feeed59d-4c7a-4288-8c7d-791db8bbf286","Mechanical","مصر","القاهرة","3","Main Contractor","Office","EGP","28000","لا","لا","نعم","نعم","نعم",,"نعم",,"Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
"fe83a52f-6560-4b51-a3bc-ad89079ce0bf","Mechanical","مصر","Ras gharib","3","Oil & Gas","Hybrid","EGP","31040","نعم","نعم","لا","نعم","ربما",,"نعم",,"Bachelor's","10","نعم","2026-07-16T00:00:00.000Z"
"fe2a8259-5a60-4e4f-8dbf-c6fe83397563","Structural","مصر","القاهرة","1","Main Contractor","Site","EGP","15000","نعم","نعم","لا","نعم","لا",,"لا",,"Bachelor's","8","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"fdd50f5a-5963-43f5-b433-9870f8dd5e38","Electrical","مصر","القاهرة","17","Supervision Consultant","Site","EGP","49000","لا","لا","لا","لا","لا",,"لا",,"Bachelor's","7","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"fd8ba094-961f-4852-bdd9-537816ab889f","Mechanical","السعودية","الدمام","5","Main Contractor","Site","SAR","7000","لا","لا","لا","ربما","نعم",,"نعم",,"Diploma","10","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"fd8935c7-169c-4b21-b6ac-35a5c04363db","BIM","مصر","القاهرة","1","Main Contractor","Office","EGP","17000","لا","لا","لا","ربما","نعم",,"لا",,"Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
"fd6f34e2-f7db-466f-ae98-181dda3869e1","Structural","مصر","القاهرة","1","Consultant","Office","EGP","12000","لا","لا","لا","ربما","نعم",,"لا",,"Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
"fd484704-b28e-43e6-beb5-68e2bc7f3c50","Mechanical","السعودية","جده","2","Main Contractor","Site","SAR","3500","نعم","نعم","نعم","لا","نعم","حدد قيمة نفسك وطور من مهارتك","نعم",,"Bachelor's","8","لا  الجمعة فقط","2026-07-16T00:00:00.000Z"
"fd2b4f42-4d88-4045-87e2-d00526dc9945","Mechanical","مصر","القاهرة","3","Consultant","Office","EGP","28000","لا","لا","لا","لا","ربما","اتأكد هل هيتأمن على مرتبك كامل و لا هيعملوا عقدين و عقد التأمينات برقم أقل بكتيير ، اتأكد من عدد ساعات الشغل و نظام الاوفر تايم ، اتأكد من مهامك الوظيفيه اللى هتشتغلها ، علشان ممكن تلاقى نفسك درافت مان و انت مش واخد بالك ، اتأكد من المكان و المكتب و بيئة العمل","نعم",,"Bachelor's",,"نعم","2026-07-16T00:00:00.000Z"
"fcf2c953-b604-4dd5-bfdb-9534150c2c91","مساح","مصر","القاهرة","5","Sub-Contractor","Site","EGP","13000","نعم","نعم","لا","لا","لا","اطلب رقم يليق بظروفك","نعم","مفيش","Master's","10","نعم","2026-07-16T00:00:00.000Z"
"fccb8a5d-af90-4fd0-a3e7-c845d966e244","Mechanical","مصر","القاهرة","2","Main Contractor","Site","EGP","19000","لا","نعم","نعم","لا","لا",,"لا",,"Bachelor's","10","نعم","2026-07-16T00:00:00.000Z"
"fcb90cd5-4c94-4b63-a426-0bebfce8acff","المحاسبه","مصر","المنوفيه","7","Manufacturer","Office","EGP","16000","لا","لا","نعم","ربما","نعم",,"لا",,"Diploma","8","نعم","2026-07-16T00:00:00.000Z"
"fca60cad-9e1e-4411-b97d-accac61edc52","Mechanical","مصر","القاهرة","1","Sub-Contractor","Site","EGP","13000","لا","لا","نعم","ربما","ربما","و انتا بتتفاوض بالذات لو لسه فريش متقبلش بمرتب ضعيف اوي و هتقولك احنا هنعلمك لسه عشان تنتج  و لسه كل ده قولها عادي تديني و تعلميني و لما انتج هفضل معاك  برده  احسن ما تعلميني و انتج و بعدها اشوف حد يقدرني مادياً فا تكون  عارف اني تعليمهم ليك و انتاجك هيكون ليهم و هما المستفدين منه و انتا هتستفاد برده بس لازم تستفاد مادياً","لا","Training","Bachelor's","8","نعم","2026-07-16T00:00:00.000Z"
