"Group","Value","Kind","Present"
"currencies","70% EGP","old","False"
"currencies","EGP","new","True"
"currencies","ARD","old","False"
"currencies","AED","new","True"
"currencies","JD","old","False"
"currencies","JOD","new","True"
"currencies","JOR","old","False"
"currencies","JOD","new","True"
"currencies","QR","old","False"
"currencies","QAR","new","True"
"currencies","UAD","old","False"
"currencies","AED","new","True"
"currencies","UAE","old","False"
"currencies","AED","new","True"
"currencies","UAE DIRH","old","False"
"currencies","AED","new","True"
"currencies","NAIRA","old","False"
"currencies","NGN","new","True"
"currencies","NIS / SH","old","False"
"currencies","ILS","new","True"
"currencies","SYR","old","False"
"currencies","SYP","new","True"
"currencies","جنية سود","old","False"
"currencies","SDG","new","True"
"currencies","دينار","old","False"
"currencies","KWD","new","True"
"currencies","دينار لي","old","False"
"currencies","LYD","new","True"
"countries","Back Office Saudi","old","False"
"countries","Saudi Arabia","new","True"
"countries","Syraia","old","False"
"countries","Syria","new","True"
"countries","سورية","old","False"
"countries","Syria","new","True"
"countries","سوريا","old","False"
"countries","Syria","new","True"
"countries","الامارات","old","False"
"countries","United Arab Emirates","new","True"
"countries","الاردن","old","False"
"countries","Jordan","new","True"
"countries","الأردن","old","False"
"countries","Jordan","new","True"
"countries","العراق","old","False"
"countries","Iraq","new","True"
"countries","الكويت","old","False"
"countries","Kuwait","new","True"
"countries","ليبيا","old","False"
"countries","Libya","new","True"
"countries","لبنان","old","False"
"countries","Lebanon","new","True"
"countries","قطر","old","False"
"countries","Qatar","new","True"
"countries","اليمن","old","False"
"countries","Yemen","new","True"
"countries","السودان","old","False"
"countries","Sudan","new","True"
"countries","فلسطين","old","False"
"countries","Palestine","new","True"
"countries","فرنسا","old","False"
"countries","France","new","True"
"countries","موريتانيا","old","False"
"countries","Mauritania","new","True"
"countries","ف مصر. باك اوفيس ل قطر","old","False"
"countries","Egypt","new","True"
"companyTypes","مقاول","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","مقاولات عامه","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","انشاءات","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","اتشاءات","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","constructure and design","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","مكتب مقاولات بسوهاج","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","محطة خرسانه جاهزه","old","False"
"companyTypes","Contractor","new","True"
"companyTypes","BIM Consultant","old","False"
"companyTypes","Consultant","new","True"
"companyTypes","مكتب هندسي","old","False"
"companyTypes","Consultant","new","True"
"companyTypes","خدمات هندسيه","old","False"
"companyTypes","Consultant","new","True"
"companyTypes","MEP Engineering Services","old","False"
"companyTypes","Consultant","new","True"
"companyTypes","owner’s engineer","old","False"
"companyTypes","Owner","new","True"
"companyTypes","Client rep.","old","False"
"companyTypes","Owner","new","True"
"companyTypes","مالك لمجموعة فنادق","old","False"
"companyTypes","Owner","new","True"
"companyTypes","Pumps Supplier","old","False"
"companyTypes","Supplier","new","False"
"companyTypes","توريدات عامه","old","False"
"companyTypes","Supplier","new","False"
"companyTypes","Supplies, Agencies & Contracting","old","False"
"companyTypes","Supplier","new","False"
"companyTypes","Medium voltage distributer","old","False"
"companyTypes","Supplier","new","False"
"companyTypes","وكيل براند تكييف","old","False"
"companyTypes","Supplier","new","False"
"companyTypes","مصنع","old","False"
"companyTypes","Manufacturing","new","True"
"companyTypes","food industry","old","False"
"companyTypes","Manufacturing","new","True"
"companyTypes","Cement industry","old","False"
"companyTypes","Manufacturing","new","True"
"companyTypes","Sheet metal","old","False"
"companyTypes","Manufacturing","new","True"
"companyTypes","شركه طباعة","old","False"
"companyTypes","Manufacturing","new","True"
