"field","original","canonical"
"currency","70% EGP","EGP"
"currency","ARD","AED"
"currency","JD","JOD"
"currency","JOR","JOD"
"currency","QR","QAR"
"currency","UAD","AED"
"currency","UAE","AED"
"currency","UAE DIRH","AED"
"currency","NAIRA","NGN"
"currency","NIS / SH","ILS"
"currency","SYR","SYP"
"currency","جنية سود","SDG"
"currency","دينار","KWD"
"currency","دينار لي","LYD"
"country","Back Office Saudi","Saudi Arabia"
"country","Syraia","Syria"
"country","سورية","Syria"
"country","سوريا","Syria"
"country","الامارات","United Arab Emirates"
"country","الاردن","Jordan"
"country","الأردن","Jordan"
"country","العراق","Iraq"
"country","الكويت","Kuwait"
"country","ليبيا","Libya"
"country","لبنان","Lebanon"
"country","قطر","Qatar"
"country","اليمن","Yemen"
"country","السودان","Sudan"
"country","فلسطين","Palestine"
"country","فرنسا","France"
"country","موريتانيا","Mauritania"
"country","ف مصر. باك اوفيس ل قطر","Egypt"
"companyType","مقاول","Contractor"
"companyType","مقاولات عامه","Contractor"
"companyType","انشاءات","Contractor"
"companyType","اتشاءات","Contractor"
"companyType","constructure and design","Contractor"
"companyType","مكتب مقاولات بسوهاج","Contractor"
"companyType","محطة خرسانه جاهزه","Contractor"
"companyType","BIM Consultant","Consultant"
"companyType","مكتب هندسي","Consultant"
"companyType","خدمات هندسيه","Consultant"
"companyType","MEP Engineering Services","Consultant"
"companyType","owner’s engineer","Owner"
"companyType","Client rep.","Owner"
"companyType","مالك لمجموعة فنادق","Owner"
"companyType","Pumps Supplier","Supplier"
"companyType","توريدات عامه","Supplier"
"companyType","Supplies, Agencies & Contracting","Supplier"
"companyType","Medium voltage distributer","Supplier"
"companyType","وكيل براند تكييف","Supplier"
"companyType","مصنع","Manufacturing"
"companyType","food industry","Manufacturing"
"companyType","Cement industry","Manufacturing"
"companyType","Sheet metal","Manufacturing"
"companyType","شركه طباعة","Manufacturing"
